Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome
0,1,1,1,0,128000.0,360.0,1,0,0,6091.0
0,1,0,1,1,66000.0,360.0,1,2,1,3000.0
0,1,0,0,0,120000.0,360.0,1,2,1,4941.0
0,0,0,1,0,141000.0,360.0,1,2,1,6000.0
0,1,2,1,1,267000.0,360.0,1,2,1,9613.0
0,1,0,0,0,95000.0,360.0,1,2,1,3849.0
0,1,3,1,0,158000.0,360.0,0,1,0,5540.0
0,1,2,1,0,168000.0,360.0,1,2,1,5532.0
0,1,1,1,0,349000.0,360.0,1,1,0,23809.0
0,1,2,1,0,70000.0,360.0,1,2,1,3900.0
0,1,2,1,0,109000.0,360.0,1,2,1,4340.0
0,1,2,1,0,200000.0,360.0,1,2,1,11179.0
0,0,0,1,0,114000.0,360.0,1,0,0,4693.0
0,1,2,1,0,17000.0,120.0,1,2,1,2385.0
0,0,0,1,0,125000.0,360.0,1,2,1,4950.0
0,0,1,0,0,100000.0,240.0,0,2,1,3596.0
1,0,0,1,0,76000.0,360.0,0,2,0,3510.0
0,1,0,0,0,133000.0,360.0,1,0,0,4887.0
0,1,0,0,0,104000.0,360.0,0,2,0,7660.0
0,1,1,1,0,315000.0,360.0,1,2,1,11580.0
0,1,0,0,0,116000.0,360.0,0,1,0,4511.0
0,1,1,1,0,151000.0,360.0,0,1,0,6642.0
0,1,0,1,1,191000.0,360.0,1,1,1,9560.0
0,1,0,1,0,122000.0,360.0,1,1,1,5052.0
0,1,2,0,0,110000.0,360.0,1,2,1,5266.0
0,0,0,0,0,35000.0,360.0,1,2,0,1442.0
1,0,2,1,0,120000.0,360.0,1,1,1,5833.0
0,1,1,1,0,201000.0,360.0,0,2,0,7535.0
0,0,0,1,0,74000.0,360.0,1,2,0,3167.0
0,0,1,1,1,106000.0,360.0,1,0,0,4692.0
0,1,0,1,0,114000.0,360.0,1,1,1,5167.0
0,0,3,1,0,320000.0,360.0,1,0,0,15500.0
1,1,0,1,0,144000.0,360.0,1,1,1,5126.0
0,0,0,1,0,184000.0,360.0,1,2,1,11376.0
0,0,0,0,0,110000.0,360.0,1,1,1,5416.0
0,0,0,1,0,80000.0,360.0,1,2,0,3600.0
0,0,0,1,0,47000.0,360.0,1,2,1,3013.0
0,1,0,1,0,75000.0,360.0,0,2,1,2400.0
0,1,0,1,0,134000.0,360.0,1,1,1,6277.0
0,1,1,1,0,44000.0,360.0,1,2,1,5649.0
0,1,0,1,0,144000.0,360.0,1,2,1,5821.0
1,1,0,1,0,120000.0,360.0,0,2,0,6085.0
1,0,0,1,0,144000.0,360.0,1,1,1,6275.0
1,1,0,0,0,100000.0,360.0,1,1,1,3572.0
1,0,0,1,0,120000.0,360.0,1,1,1,3086.0
1,0,0,1,0,112000.0,360.0,1,1,0,4230.0
0,1,2,1,0,134000.0,360.0,1,2,0,4616.0
1,1,1,1,1,286000.0,360.0,0,2,0,11500.0
0,1,2,1,0,97000.0,360.0,1,1,1,3875.0
0,1,0,1,0,96000.0,360.0,1,1,1,3723.0
0,1,0,1,0,135000.0,360.0,1,0,0,5566.0
0,1,1,1,0,180000.0,360.0,1,2,1,10330.0
0,1,2,0,0,144000.0,360.0,1,2,1,6216.0
0,1,0,1,0,120000.0,360.0,1,2,1,6296.0
0,1,3,1,0,99000.0,360.0,1,2,1,3029.0
0,1,0,0,1,165000.0,180.0,0,0,0,6058.0
1,0,0,1,0,116000.0,360.0,0,1,0,4166.0
0,1,0,1,0,258000.0,360.0,1,1,0,10321.0
0,0,0,0,0,126000.0,180.0,0,2,0,5454.0
0,1,1,1,0,312000.0,360.0,1,2,1,10750.0
0,1,3,0,1,125000.0,60.0,1,2,1,7100.0
1,0,0,1,0,136000.0,360.0,0,1,0,4300.0
0,1,0,1,0,172000.0,360.0,1,2,1,6274.0
0,1,2,0,1,97000.0,360.0,1,1,1,3750.0
0,0,0,1,0,81000.0,300.0,1,1,1,3500.0
0,1,3,1,1,187000.0,360.0,1,1,1,7040.0
0,0,0,1,0,113000.0,480.0,1,2,0,3750.0
0,0,0,1,0,176000.0,360.0,1,2,0,8500.0
0,1,1,1,1,110000.0,360.0,1,2,0,4022.0
0,1,3,1,0,180000.0,300.0,0,1,0,7167.0
0,1,3,0,1,130000.0,360.0,0,1,1,5499.0
1,0,0,1,0,111000.0,360.0,1,1,1,3846.0
1,1,2,1,0,167000.0,360.0,1,2,0,3259.0
0,1,0,1,0,265000.0,360.0,0,1,0,8250.0
0,1,1,1,0,50000.0,240.0,1,2,1,3988.0
0,0,0,1,0,136000.0,360.0,1,1,1,4897.0
0,1,2,0,0,99000.0,360.0,0,1,1,5333.0
0,1,0,1,0,104000.0,360.0,1,1,1,4618.0
0,0,0,1,0,210000.0,360.0,1,2,1,8566.0
0,1,0,1,0,175000.0,360.0,1,1,1,9862.0
0,1,0,1,0,131000.0,360.0,1,1,1,5858.0
0,1,2,1,0,188000.0,180.0,1,1,1,11904.0
0,1,2,0,0,81000.0,360.0,1,2,1,5093.0
0,0,0,1,0,122000.0,360.0,1,1,1,4133.0
0,0,0,0,0,25000.0,120.0,1,1,1,3620.0
1,1,0,1,0,137000.0,360.0,1,1,1,4786.0
0,1,0,1,0,50000.0,360.0,1,1,1,2974.0
0,1,0,0,0,115000.0,180.0,1,1,1,4188.0
0,1,0,1,0,131000.0,360.0,1,1,1,5300.0
0,1,2,0,0,133000.0,180.0,1,2,1,7551.0
0,0,0,1,0,151000.0,360.0,1,1,1,8649.0
0,1,1,1,0,100000.0,360.0,1,2,1,4082.0
0,1,2,1,0,225000.0,360.0,1,2,1,12543.0
0,0,0,0,0,120000.0,360.0,1,0,0,7333.0
0,1,2,1,0,216000.0,360.0,0,2,0,7400.0
0,1,3,0,0,94000.0,480.0,1,1,1,2825.0
0,0,0,1,0,136000.0,360.0,1,2,1,5316.0
1,1,0,1,0,139000.0,360.0,1,1,1,5262.0
0,0,0,1,0,118000.0,360.0,1,1,1,5050.0
0,1,1,1,0,185000.0,180.0,1,0,1,14583.0
1,1,0,1,0,154000.0,360.0,1,1,1,5450.0
0,1,1,1,0,85000.0,360.0,0,2,1,3612.0
0,1,0,1,0,175000.0,360.0,1,0,0,7710.0
1,0,0,1,0,259000.0,360.0,1,2,1,10408.0
0,1,0,1,0,180000.0,360.0,1,0,1,8334.0
1,0,0,1,0,44000.0,360.0,1,1,1,4166.0
1,0,0,1,0,137000.0,360.0,0,1,1,11117.0
0,1,2,1,0,81000.0,360.0,1,1,1,2957.0
0,1,0,0,0,194000.0,360.0,1,0,1,6314.0
1,0,0,1,0,93000.0,360.0,0,0,1,3692.0
0,1,1,1,1,160000.0,180.0,0,2,0,14363.0
0,1,0,1,0,182000.0,360.0,0,0,0,8649.0
0,0,0,1,1,650000.0,480.0,0,2,1,20166.0
0,0,0,1,0,74000.0,360.0,1,2,1,3943.0
0,0,0,1,0,70000.0,360.0,1,1,1,2718.0
0,1,0,1,1,25000.0,120.0,1,1,1,3459.0
0,0,0,1,0,102000.0,360.0,1,1,1,4895.0
0,1,3,1,0,290000.0,360.0,1,1,0,11750.0
1,1,0,1,0,84000.0,360.0,1,0,0,4583.0
0,1,2,1,1,88000.0,360.0,1,2,1,6816.0
0,0,0,1,0,242000.0,360.0,0,1,0,14999.0
0,1,2,0,0,129000.0,360.0,1,0,0,5630.0
0,1,2,1,0,185000.0,360.0,1,0,0,7125.0
0,0,0,1,0,168000.0,360.0,1,2,1,5417.0
0,0,0,1,1,175000.0,180.0,1,1,1,6950.0
0,1,0,1,0,122000.0,360.0,1,1,1,4732.0
0,1,2,1,0,187000.0,180.0,1,2,1,11757.0
1,1,0,1,0,100000.0,360.0,1,1,1,6816.0
1,1,2,1,0,70000.0,360.0,1,2,1,14866.0
0,1,1,1,0,30000.0,360.0,1,2,1,2963.0
1,0,0,1,0,225000.0,360.0,1,0,0,11666.0
0,1,0,1,0,125000.0,360.0,1,1,1,5690.0
0,0,0,1,0,118000.0,360.0,0,0,0,6277.0
0,1,0,1,1,152000.0,360.0,1,0,1,6327.0
0,0,0,1,0,244000.0,360.0,1,2,0,9166.0
0,1,2,0,0,113000.0,360.0,1,0,0,2281.0
0,0,0,1,0,50000.0,360.0,1,2,1,3254.0
0,1,3,1,0,600000.0,180.0,0,1,1,39999.0
0,1,1,1,0,160000.0,360.0,0,0,1,6000.0
0,1,1,1,0,187000.0,360.0,1,2,1,9538.0
0,0,0,1,0,120000.0,360.0,1,0,1,5063.0
0,1,0,1,0,255000.0,360.0,1,1,1,10208.0
0,1,0,0,0,98000.0,360.0,1,1,1,2904.0
0,1,0,1,0,275000.0,360.0,1,2,0,7933.0
0,1,1,1,0,121000.0,360.0,0,1,0,4369.0
0,1,2,1,0,158000.0,360.0,1,0,1,5614.0
0,1,0,1,0,75000.0,180.0,1,2,1,9323.0
1,1,0,1,0,112000.0,360.0,1,0,0,4583.0
0,1,0,1,0,129000.0,360.0,1,0,1,5772.0
0,0,0,1,0,63000.0,480.0,0,1,0,2237.0
0,1,2,1,0,200000.0,360.0,1,1,1,8000.0
0,1,0,0,0,95000.0,360.0,1,0,1,3589.0
0,1,3,0,0,81000.0,180.0,1,0,0,3522.0
0,1,0,1,0,187000.0,360.0,1,1,1,11333.0
0,1,0,0,1,87000.0,360.0,1,1,0,5080.0
0,1,0,1,0,116000.0,360.0,1,0,1,5461.0
0,1,2,1,0,101000.0,360.0,1,0,1,3664.0
0,1,3,1,0,495000.0,360.0,0,1,0,16816.0
0,1,1,1,0,116000.0,360.0,1,1,1,3750.0
0,0,0,0,0,102000.0,480.0,0,2,0,3784.0
0,1,1,1,0,180000.0,360.0,0,2,0,13650.0
0,0,0,1,0,67000.0,360.0,0,0,0,6979.0
0,1,0,1,0,73000.0,180.0,1,1,1,4600.0
0,1,1,1,0,260000.0,360.0,1,1,0,33846.0
1,1,0,1,0,108000.0,360.0,1,1,1,3625.0
0,1,0,1,1,120000.0,360.0,1,1,1,43897.0
0,1,1,1,1,66000.0,300.0,0,0,0,2178.0
0,1,0,1,0,58000.0,360.0,0,0,1,4521.0
0,1,0,1,0,188000.0,180.0,1,0,1,9328.0
0,0,0,0,0,48000.0,360.0,1,0,1,4885.0
0,0,0,1,0,164000.0,360.0,1,1,0,12000.0
0,1,0,0,0,160000.0,360.0,1,2,0,6033.0
0,0,0,1,0,76000.0,360.0,1,1,1,3858.0
0,0,0,1,0,120000.0,360.0,1,0,1,4191.0
0,1,1,1,0,170000.0,360.0,1,1,0,5708.0
0,0,0,1,0,187000.0,360.0,1,0,1,12083.0
1,1,0,1,0,113000.0,360.0,0,1,1,6232.0
0,0,0,1,1,83000.0,360.0,1,2,0,11000.0
0,1,1,0,0,90000.0,360.0,1,1,1,5100.0
0,0,2,1,0,166000.0,360.0,0,1,1,4923.0
0,1,1,0,0,135000.0,360.0,1,2,1,4583.0
0,1,2,0,0,124000.0,360.0,1,1,1,3917.0
1,0,0,0,0,120000.0,360.0,1,1,1,4408.0
1,0,0,1,0,80000.0,360.0,1,2,1,3244.0
0,0,0,0,0,55000.0,360.0,1,0,1,6506.0
0,0,0,1,0,59000.0,360.0,1,2,1,2479.0
0,0,0,1,0,127000.0,360.0,1,1,0,3418.0
1,0,0,1,0,214000.0,360.0,1,1,0,10000.0
0,1,3,1,0,128000.0,360.0,0,1,0,4680.0
0,1,1,1,1,240000.0,360.0,1,2,1,7787.0
0,1,3,0,1,130000.0,360.0,1,0,1,5703.0
0,1,0,1,0,137000.0,360.0,1,2,1,6194.0
0,1,3,0,0,100000.0,360.0,1,1,1,4833.0
0,1,0,1,0,135000.0,360.0,1,0,0,1950.0
0,1,0,1,0,131000.0,360.0,1,1,1,5502.0
0,1,2,1,0,72000.0,360.0,0,1,0,5000.0
1,1,2,1,0,127000.0,360.0,0,1,1,6666.0
0,1,0,1,0,60000.0,360.0,0,2,0,2221.0
0,1,2,1,0,116000.0,360.0,1,1,1,5726.0
0,0,0,1,0,144000.0,360.0,1,1,1,5762.0
0,1,0,1,0,128000.0,360.0,1,1,1,6250.0
0,1,0,1,0,170000.0,360.0,1,0,0,3250.0
0,1,0,0,1,138000.0,360.0,1,2,0,4735.0
0,1,2,1,0,210000.0,360.0,1,1,1,7945.0
0,0,0,1,1,200000.0,360.0,1,0,1,6400.0
0,1,1,1,0,104000.0,360.0,1,1,1,4545.0
0,1,0,1,0,42000.0,180.0,1,0,1,3716.0
1,0,0,1,0,280000.0,360.0,1,1,1,8333.0
0,1,1,1,0,140000.0,360.0,1,1,1,4934.0
0,1,1,1,0,170000.0,360.0,1,0,1,6760.0
0,1,0,1,0,255000.0,360.0,0,2,0,5746.0
1,0,0,1,1,122000.0,360.0,0,2,1,3463.0
1,0,1,1,0,112000.0,360.0,1,0,1,3812.0
0,1,1,1,0,96000.0,360.0,1,1,1,3315.0
0,1,2,1,0,120000.0,360.0,1,0,1,10819.0
0,1,1,0,0,140000.0,180.0,1,2,0,4493.0
0,0,0,1,0,155000.0,60.0,1,2,1,8666.0
0,1,2,1,1,108000.0,360.0,1,0,1,7550.0
0,1,0,0,0,123000.0,360.0,1,1,1,7823.0
