Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome
0,1,1,1,0,4583.0,1508.0,128000.0,360.0,1,0,0,6091.0
0,1,0,1,1,3000.0,0.0,66000.0,360.0,1,2,1,3000.0
0,1,0,0,0,2583.0,2358.0,120000.0,360.0,1,2,1,4941.0
0,0,0,1,0,6000.0,0.0,141000.0,360.0,1,2,1,6000.0
0,1,2,1,1,5417.0,4196.0,267000.0,360.0,1,2,1,9613.0
0,1,0,0,0,2333.0,1516.0,95000.0,360.0,1,2,1,3849.0
0,1,3,1,0,3036.0,2504.0,158000.0,360.0,0,1,0,5540.0
0,1,2,1,0,4006.0,1526.0,168000.0,360.0,1,2,1,5532.0
0,1,1,1,0,12841.0,10968.0,349000.0,360.0,1,1,0,23809.0
0,1,2,1,0,3200.0,700.0,70000.0,360.0,1,2,1,3900.0
0,1,2,1,0,2500.0,1840.0,109000.0,360.0,1,2,1,4340.0
0,1,2,1,0,3073.0,8106.0,200000.0,360.0,1,2,1,11179.0
0,0,0,1,0,1853.0,2840.0,114000.0,360.0,1,0,0,4693.0
0,1,2,1,0,1299.0,1086.0,17000.0,120.0,1,2,1,2385.0
0,0,0,1,0,4950.0,0.0,125000.0,360.0,1,2,1,4950.0
0,0,1,0,0,3596.0,0.0,100000.0,240.0,0,2,1,3596.0
1,0,0,1,0,3510.0,0.0,76000.0,360.0,0,2,0,3510.0
0,1,0,0,0,4887.0,0.0,133000.0,360.0,1,0,0,4887.0
0,1,0,0,0,7660.0,0.0,104000.0,360.0,0,2,0,7660.0
0,1,1,1,0,5955.0,5625.0,315000.0,360.0,1,2,1,11580.0
0,1,0,0,0,2600.0,1911.0,116000.0,360.0,0,1,0,4511.0
0,1,1,1,0,3717.0,2925.0,151000.0,360.0,0,1,0,6642.0
0,1,0,1,1,9560.0,0.0,191000.0,360.0,1,1,1,9560.0
0,1,0,1,0,2799.0,2253.0,122000.0,360.0,1,1,1,5052.0
0,1,2,0,0,4226.0,1040.0,110000.0,360.0,1,2,1,5266.0
0,0,0,0,0,1442.0,0.0,35000.0,360.0,1,2,0,1442.0
1,0,2,1,0,3750.0,2083.0,120000.0,360.0,1,1,1,5833.0
0,1,1,1,0,4166.0,3369.0,201000.0,360.0,0,2,0,7535.0
0,0,0,1,0,3167.0,0.0,74000.0,360.0,1,2,0,3167.0
0,0,1,1,1,4692.0,0.0,106000.0,360.0,1,0,0,4692.0
0,1,0,1,0,3500.0,1667.0,114000.0,360.0,1,1,1,5167.0
0,0,3,1,0,12500.0,3000.0,320000.0,360.0,1,0,0,15500.0
1,1,0,1,0,3667.0,1459.0,144000.0,360.0,1,1,1,5126.0
0,0,0,1,0,4166.0,7210.0,184000.0,360.0,1,2,1,11376.0
0,0,0,0,0,3748.0,1668.0,110000.0,360.0,1,1,1,5416.0
0,0,0,1,0,3600.0,0.0,80000.0,360.0,1,2,0,3600.0
0,0,0,1,0,1800.0,1213.0,47000.0,360.0,1,2,1,3013.0
0,1,0,1,0,2400.0,0.0,75000.0,360.0,0,2,1,2400.0
0,1,0,1,0,3941.0,2336.0,134000.0,360.0,1,1,1,6277.0
0,1,1,1,0,5649.0,0.0,44000.0,360.0,1,2,1,5649.0
0,1,0,1,0,5821.0,0.0,144000.0,360.0,1,2,1,5821.0
